"","spcode","treatment","nfixer","pred_rgr","pred_d13c","pred_d15n","pred_total_biomass_2","pred_above_biomass_2","pred_below_biomass_exp","pred_amax_exp","pred_wue_exp","pred_pnue_exp"
"1","ec","no_additions","fixer",0.0081357922970083,-29.6523089397568,-1.16040190870429,5.01502573462329,2.4250749829038,2.62247003524671,21.3862987319741,5.71216408589406,69.1265231809376
"2","ec","no_additions","fixer",0.00637708074340211,-29.5047319901856,-0.782024386731518,5.74879687733098,2.81725745337049,2.84184616916853,20.1807090255637,5.63019234354453,66.2781991745266
"3","ec","no_additions","fixer",0.00902118935476853,-29.7266043503235,-1.35089041944976,4.66457175684019,2.23875540120189,2.51852154066416,22.020227112625,5.75388210371147,70.60646903642
"4","ec","no_additions","fixer",0.00841225482091544,-29.6755074545247,-1.21988136370635,4.90423470246479,2.36609770820138,2.58955988771875,21.5822562724857,5.72515782811908,69.5852700405945
"5","ec","plus_water_nutrients","fixer",0.0104596374373111,-29.3327391446741,-1.29054940557291,10.0510185885196,5.08719272358407,4.68570247540267,22.8261717037301,4.81881764128358,75.5331775196555
"6","ec","plus_water_nutrients","fixer",0.0103497469385348,-29.3235180165346,-1.26690704390761,10.113808856895,5.12141260398148,4.70928269055857,22.7435652147953,4.81446745005399,75.3348503834403
"7","ec","plus_water_nutrients","fixer",0.00974081240468172,-29.2724211207359,-1.13589798816419,10.4652911258389,5.31311360999865,4.84211445425348,22.2912075568138,4.79043287872054,74.2452636272671
"8","ec","plus_water_nutrients","fixer",0.00946434988077459,-29.2492226059679,-1.07641853316213,10.6268492776593,5.40131039415017,4.90365182274322,22.0888130456599,4.77956057583543,73.7557953602972
"9","ec","plus_water","fixer",0.00820668929151474,-29.7839092158686,-1.40880738191527,7.58456342617721,3.29497132315611,4.1842790519288,25.2856634488537,4.99620830291772,77.8822390691665
"10","ec","plus_water","fixer",0.00820668929151474,-29.7839092158686,-1.40880738191527,7.58456342617721,3.29497132315611,4.1842790519288,25.2856634488537,4.99620830291772,77.8822390691665
"11","ec","plus_water","fixer",0.00756934198645121,-29.7304281484896,-1.2716854681873,7.90370991339899,3.45636094811929,4.30788988588821,24.7595245030835,4.97010571616445,76.7036494321438
"12","ec","plus_water","fixer",0.00728123134630806,-29.7062522173517,-1.20969998236512,8.05013750095386,3.53058292955766,4.36495980813852,24.5252920078986,4.9583509320181,76.1767419125067
"13","ec","plus_nutrients","fixer",0.00951812874695659,-28.8562207651115,-0.880794149782512,10.5529079337871,4.21932212606285,5.77576604328195,17.2808807151412,6.73357925310694,52.0191782674034
"14","ec","plus_nutrients","fixer",0.0122359532695712,-29.0842787725175,-1.46551977230721,9.02394679946391,3.48493092494404,5.10143422103752,18.901987149989,6.88567975801718,55.5140907883135
"15","ec","plus_nutrients","fixer",0.0111847112070128,-28.99606698103,-1.23935058281801,9.60115887765341,3.76066915995432,5.35238390781285,18.2576566132517,6.82644473033031,54.1352601191731
"16","hc","no_additions","nonfixer",0.00349678485342868,-29.1380088796106,3.35141995919896,8.73691682463838,4.8433728826902,3.71027684388465,6.80906475095711,2.97466647613415,51.7780939511749
"17","hc","no_additions","nonfixer",0.0039947592895732,-29.1797948951172,3.24428338369413,8.47405197932639,4.69349680814831,3.62683082027631,6.92185587114456,2.9868658675859,52.398674020983
"18","hc","no_additions","nonfixer",0.0030478749853233,-29.100339968622,3.44800055147093,8.97732314481975,4.98050074423,3.78714533087069,6.70896280625468,2.96371177995316,51.2249602586657
"19","hc","no_additions","nonfixer",0.00542511147595351,-29.2998185636066,2.93655064905599,7.74134336958495,4.2761014879981,3.39743684622921,7.25632882295482,3.02218562635001,54.2228661950133
"20","hc","plus_water_nutrients","nonfixer",0.00547491970849011,-29.2127594594922,-0.0307236055069177,11.1623814440619,6.22812051995351,5.07369324864303,6.99568917332163,1.49522958597081,46.3392725804247
"21","hc","plus_water_nutrients","nonfixer",0.00528876181920603,-29.1971385844358,0.00932728328070659,11.2745826697811,6.29231911945298,5.11702197535734,6.95285533954588,1.49294366634836,46.133342920338
"22","hc","plus_water_nutrients","nonfixer",0.00337934428401051,-29.0369155991918,0.420128402939701,12.4578208203102,6.96980682706212,5.58337862126547,6.52836813932936,1.46969784382452,44.073241235331
"23","hc","plus_water_nutrients","nonfixer",0.00416302184504983,-29.1026755264911,0.251524305830257,11.9650453411064,6.68755717834491,5.38703958629216,6.69936040496313,1.47919445467491,44.9073932835309
"24","hc","plus_water","nonfixer",0.00287554752323941,-29.1237078657373,3.378517591654,9.77518322537818,5.42315843092369,4.02439774147305,7.29559185053968,1.5357011535687,56.0402611299963
"25","hc","plus_water","nonfixer",0.0034844820570925,-29.174804761536,3.24750853591058,9.43558805496571,5.22946420641286,3.9139980690035,7.44364201043738,1.5434060770812,56.8626802764388
"26","hc","plus_water","nonfixer",0.00382243182748932,-29.2031627922325,3.1748004238772,9.24970823476863,5.12348655592699,3.85404004510943,7.52710020050384,1.54769886513025,57.3243075284706
"27","hc","plus_water","nonfixer",0.00365032706189072,-29.1887211424567,3.21182785716685,9.34413858195532,5.17732131856625,3.88445868609441,7.48448189597335,1.54551122409055,57.0887522093404
"28","hc","plus_nutrients","nonfixer",0.00473060163688104,-28.822679765284,0.814787194155161,11.180156727334,6.09067952829282,4.93866174708645,7.14028315503795,2.91860001766643,43.7144037016987
"29","hc","plus_nutrients","nonfixer",0.00426644862914438,-28.7837317724334,0.914647267584194,11.4611780572581,6.249589159575,5.04449083203257,7.03177470189633,2.90748752547736,43.2316433656483
